iter	Accuracy	Logloss
0	0.9042987135	0.6824512407
1	0.9058675871	0.6728044445
2	0.9024160653	0.6646027869
3	0.9011609664	0.6534796931
4	0.8860997804	0.6453475662
5	0.8845309068	0.6377565495
6	0.8964543458	0.6275421182
7	0.9039849388	0.6193430734
8	0.9046124882	0.6104008435
9	0.9033573894	0.6019046166
10	0.8995920929	0.5941440807
11	0.90806401	0.5850210134
12	0.9052400377	0.5772403573
13	0.9071226859	0.5670139077
14	0.9112017571	0.5580673417
15	0.9105742077	0.5507005775
16	0.9146532789	0.5420302677
17	0.9143395042	0.5356998762
18	0.912456856	0.5291038053
19	0.9121430813	0.5218770126
20	0.917791026	0.5134902825
21	0.9184185755	0.5054325561
22	0.9218700973	0.4970877409
23	0.9215563226	0.491064417
24	0.9212425479	0.485673198
25	0.917791026	0.4806001447
26	0.917791026	0.475157278
27	0.9181048008	0.4679797958
28	0.9184185755	0.4616120387
29	0.9159083778	0.4582204003
30	0.9140257295	0.4540211768
31	0.9168497019	0.4489362944
32	0.9203012237	0.4422884564
33	0.9228114214	0.438011639
34	0.9224976467	0.4332581849
35	0.9234389708	0.4287244482
36	0.9243802949	0.4230641654
37	0.9243802949	0.4176947501
38	0.9246940697	0.4130963996
39	0.9237527455	0.4088899454
40	0.9240665202	0.4045210653
41	0.9256353938	0.400996021
42	0.927518042	0.3973969146
43	0.927518042	0.3933525131
44	0.9278318168	0.3885491847
45	0.9294006903	0.3852444108
46	0.9281455915	0.3808916349
47	0.9300282397	0.3776055906
48	0.9287731409	0.3743672997
49	0.9281455915	0.3709198672
50	0.9281455915	0.3685143541
51	0.9281455915	0.3653125067
52	0.927518042	0.3627026752
53	0.9278318168	0.3586930788
54	0.9290869156	0.3542548497
55	0.931910888	0.35032285
56	0.9328522121	0.346654976
57	0.9328522121	0.3432305799
58	0.931910888	0.3407616631
59	0.9337935362	0.3384903055
60	0.934107311	0.3354191574
61	0.9381863822	0.332083488
62	0.9369312833	0.3295262905
63	0.9350486351	0.3267493225
64	0.939441481	0.3234764917
65	0.939441481	0.3212711608
66	0.9381863822	0.3194740845
67	0.9419516787	0.3169416057
68	0.943834327	0.3137566732
69	0.9432067775	0.311529256
70	0.9419516787	0.3091652489
71	0.9444618764	0.3067937021
72	0.9444618764	0.3047596911
73	0.9428930028	0.3026650383
74	0.9425792281	0.3008253017
75	0.9441481017	0.2979206493
76	0.9422654534	0.2960172096
77	0.9425792281	0.2937669699
78	0.9428930028	0.2915363347
79	0.9441481017	0.2896091295
80	0.9466582993	0.2873955339
81	0.9463445246	0.2859661272
82	0.9466582993	0.2833310623
83	0.9466582993	0.2814507778
84	0.9457169752	0.2796026605
85	0.9460307499	0.2778182222
86	0.9472858488	0.2756558838
87	0.9472858488	0.2745749416
88	0.9469720741	0.2726296775
89	0.9482271729	0.2709083778
90	0.9475996235	0.2695642712
91	0.9485409476	0.267956279
92	0.949168497	0.2665580417
93	0.949168497	0.2649053105
94	0.949168497	0.263434878
95	0.9494822717	0.2618126624
96	0.9497960464	0.2604053565
97	0.9501098211	0.2590988666
98	0.9497960464	0.2574939893
99	0.9501098211	0.2562558069
100	0.9504235959	0.2547036207
101	0.9504235959	0.2534342367
102	0.9501098211	0.251974786
103	0.9510511453	0.2501588291
104	0.9510511453	0.2497188974
105	0.9501098211	0.2482717266
106	0.9507373706	0.2462774666
107	0.9507373706	0.2446896274
108	0.9504235959	0.2435354962
109	0.9507373706	0.2419790508
110	0.9504235959	0.2409883666
111	0.9504235959	0.2400787266
112	0.9507373706	0.2387949892
113	0.9510511453	0.2377381525
114	0.95136492	0.236517253
115	0.95136492	0.2352259448
116	0.9519924694	0.2340367388
117	0.9516786947	0.2331299137
118	0.9510511453	0.2324265152
119	0.9510511453	0.2315808773
120	0.9519924694	0.2302958057
121	0.9526200188	0.2288891513
122	0.9526200188	0.228133383
123	0.9529337935	0.2271568545
124	0.9529337935	0.2264746846
125	0.9529337935	0.2257068994
126	0.9529337935	0.224824551
127	0.9526200188	0.2241580638
128	0.9526200188	0.2233582429
129	0.9523062441	0.2225255847
130	0.9529337935	0.2217317332
131	0.9529337935	0.2204375949
132	0.9532475682	0.2197447642
133	0.9532475682	0.2187365151
134	0.9529337935	0.2180011462
135	0.9532475682	0.216932206
136	0.9529337935	0.2164969406
137	0.9529337935	0.2156775515
138	0.9532475682	0.2148734994
139	0.9529337935	0.214200122
140	0.9532475682	0.2139990878
141	0.9529337935	0.2130545051
142	0.9532475682	0.2121187235
143	0.9532475682	0.2113761787
144	0.9532475682	0.2105938981
145	0.9532475682	0.2096200137
146	0.9541888924	0.2088511366
147	0.9541888924	0.2082421252
148	0.9538751177	0.2072653644
149	0.953561343	0.2066145933
150	0.9538751177	0.2058228531
151	0.9541888924	0.205321843
152	0.9545026671	0.2042568114
153	0.9541888924	0.2035984378
154	0.9538751177	0.2031615101
155	0.9541888924	0.2025745106
156	0.9538751177	0.2020077047
157	0.9538751177	0.2015367696
158	0.9541888924	0.2008639469
159	0.9541888924	0.1999420006
160	0.9541888924	0.1993930734
161	0.9538751177	0.198444293
162	0.9538751177	0.1979477789
163	0.9538751177	0.1972116003
164	0.9538751177	0.1971366432
165	0.9541888924	0.196523032
166	0.9541888924	0.1959887754
167	0.9538751177	0.1952492691
168	0.9541888924	0.1947749107
169	0.9541888924	0.194274977
170	0.9541888924	0.1936550359
171	0.9541888924	0.1928239382
172	0.9538751177	0.1923199735
173	0.9548164418	0.1917015926
174	0.9548164418	0.191200607
175	0.9545026671	0.1907074897
176	0.9548164418	0.1900909831
177	0.9548164418	0.1895926897
178	0.9548164418	0.1888192153
179	0.9551302165	0.1881151687
180	0.9554439912	0.1879167608
181	0.9554439912	0.1878653807
182	0.9554439912	0.1873358738
183	0.9551302165	0.1868346771
184	0.9551302165	0.186299278
185	0.9551302165	0.1857444289
186	0.9551302165	0.1851423866
187	0.9551302165	0.1847022486
188	0.9554439912	0.184306958
189	0.9560715406	0.1838498855
190	0.9557577659	0.1834187211
191	0.9560715406	0.1829410484
192	0.9566990901	0.1823816313
193	0.9570128648	0.1818251482
194	0.9570128648	0.1813422157
195	0.9570128648	0.1808724307
196	0.9566990901	0.1805575247
197	0.9570128648	0.1799695883
198	0.9570128648	0.1795895285
199	0.9566990901	0.1791487277
200	0.9570128648	0.1785132151
201	0.9570128648	0.1781711277
202	0.9573266395	0.1776983401
203	0.9576404142	0.1771998741
204	0.9576404142	0.1768032318
205	0.9576404142	0.1764335743
206	0.9576404142	0.175905668
207	0.9576404142	0.1756451196
208	0.9579541889	0.1752336216
209	0.9582679636	0.1746820928
210	0.9582679636	0.1743594499
211	0.9585817383	0.173892605
212	0.9582679636	0.1734332332
213	0.9579541889	0.1730989662
214	0.9582679636	0.1727375354
215	0.9585817383	0.1724645835
216	0.9582679636	0.171978563
217	0.9579541889	0.1716571656
218	0.9579541889	0.1711475746
219	0.9582679636	0.1707655936
220	0.9582679636	0.1703084633
221	0.9582679636	0.1698820598
222	0.9585817383	0.1694641769
223	0.9592092877	0.1691624527
224	0.9595230624	0.1687466407
225	0.9595230624	0.1683220405
226	0.9595230624	0.1679298965
227	0.9595230624	0.1676668209
228	0.9595230624	0.1673261044
229	0.9592092877	0.1668418446
230	0.9592092877	0.1664992703
231	0.9598368372	0.1660806298
232	0.9604643866	0.165764127
233	0.9601506119	0.1655491451
234	0.9601506119	0.1652833393
235	0.9601506119	0.1650856122
236	0.9601506119	0.1646916285
237	0.9601506119	0.1644427728
238	0.9604643866	0.1641048408
239	0.9604643866	0.1637223373
240	0.9604643866	0.1634063399
241	0.9601506119	0.1631321789
242	0.9601506119	0.162865343
243	0.9601506119	0.1626257894
244	0.9601506119	0.1622538898
245	0.9604643866	0.1619165444
246	0.9607781613	0.1617143449
247	0.9604643866	0.1614028852
248	0.9604643866	0.1610514056
249	0.9604643866	0.1607866883
250	0.9604643866	0.1604967742
251	0.9604643866	0.1602515015
252	0.9604643866	0.1598688573
253	0.9604643866	0.1596126802
254	0.9604643866	0.1593702601
255	0.9607781613	0.1590953148
256	0.961091936	0.1588535167
257	0.961091936	0.158669662
258	0.9607781613	0.1584393355
259	0.961091936	0.1581673644
260	0.9617194854	0.1578516402
261	0.9614057107	0.1576902586
262	0.9617194854	0.1575947714
263	0.9617194854	0.157315168
264	0.9617194854	0.1570902789
265	0.9617194854	0.1567985363
266	0.9617194854	0.1564517913
267	0.9617194854	0.1562011854
268	0.9617194854	0.1558444666
269	0.9617194854	0.1556611355
270	0.9617194854	0.1554367586
271	0.9617194854	0.1552326057
272	0.9617194854	0.1549337202
273	0.9617194854	0.1546405057
274	0.9617194854	0.1544243937
275	0.9617194854	0.1541625097
276	0.9617194854	0.1539193713
277	0.9617194854	0.1535790021
278	0.9620332601	0.1532529809
279	0.9620332601	0.1530413123
280	0.9623470348	0.1527468475
281	0.9623470348	0.1525530083
282	0.9623470348	0.1523199412
283	0.9623470348	0.1520495705
284	0.9626608095	0.1517184004
285	0.9626608095	0.1515704917
286	0.9626608095	0.1513563223
287	0.9623470348	0.1511774262
288	0.9623470348	0.1509193429
289	0.9629745842	0.1505882699
290	0.9626608095	0.1503558706
291	0.963288359	0.1501301451
292	0.9636021337	0.1499286528
293	0.9636021337	0.1496168528
294	0.963288359	0.1494563805
295	0.9636021337	0.1491616959
296	0.9639159084	0.1489644222
297	0.9639159084	0.1487430251
298	0.9639159084	0.1487028763
299	0.9639159084	0.1484700343
300	0.9639159084	0.1482229296
301	0.9639159084	0.1480226525
302	0.9648572325	0.1477252472
303	0.9648572325	0.1474455176
304	0.9651710072	0.1472535745
305	0.9648572325	0.1471061849
306	0.9645434578	0.1468652877
307	0.9642296831	0.1467058034
