iter	Passed	Remaining
0	2	2584
1	4	2416
2	7	2336
3	9	2259
4	11	2234
5	13	2311
6	16	2292
7	18	2261
8	20	2232
9	22	2217
10	24	2206
11	26	2200
12	28	2200
13	31	2195
14	33	2192
15	35	2181
16	37	2177
17	39	2168
18	41	2165
19	44	2163
20	46	2161
21	48	2156
22	50	2154
23	52	2148
24	55	2148
25	57	2162
26	60	2189
27	63	2213
28	66	2227
29	69	2241
30	72	2253
31	74	2263
32	77	2266
33	79	2268
34	81	2256
35	83	2242
36	85	2229
37	87	2215
38	89	2202
39	91	2191
40	93	2187
41	95	2178
42	97	2168
43	99	2158
44	101	2147
45	103	2138
46	105	2133
47	107	2126
48	109	2124
49	111	2119
50	113	2113
51	115	2106
52	117	2102
53	119	2098
54	121	2094
55	124	2092
56	126	2091
57	128	2087
58	130	2081
59	132	2075
60	134	2071
61	136	2065
62	138	2058
63	140	2052
64	142	2048
65	144	2044
66	146	2038
67	148	2031
68	150	2027
69	152	2021
70	154	2017
71	156	2013
72	158	2011
73	160	2005
74	162	1999
75	164	1994
76	166	1990
77	167	1984
78	169	1978
79	171	1973
80	173	1968
81	175	1965
82	177	1961
83	179	1957
84	181	1953
85	183	1949
86	185	1945
87	187	1942
88	189	1939
89	191	1935
90	193	1931
91	195	1927
92	197	1923
93	199	1918
94	200	1914
95	203	1912
96	205	1909
97	207	1907
98	209	1905
99	211	1901
100	213	1897
101	215	1895
102	217	1892
103	219	1888
104	221	1886
105	223	1882
106	225	1879
107	227	1875
108	228	1870
109	230	1866
110	232	1864
111	235	1863
112	237	1860
113	239	1859
114	241	1855
115	243	1853
116	245	1849
117	247	1847
118	249	1844
119	251	1840
120	252	1837
121	255	1835
122	256	1831
123	258	1827
124	260	1824
125	262	1822
126	265	1824
127	267	1823
128	269	1822
129	271	1819
130	274	1818
131	276	1816
132	278	1812
133	280	1812
134	282	1809
135	284	1806
136	286	1803
137	288	1802
138	290	1801
139	292	1799
140	294	1795
141	297	1794
142	298	1791
143	301	1789
144	303	1787
145	305	1784
146	307	1782
147	309	1779
148	310	1775
149	313	1773
150	314	1771
151	317	1769
152	319	1766
153	321	1763
154	323	1761
155	325	1758
156	327	1756
157	329	1753
158	331	1753
159	333	1753
160	336	1752
161	338	1749
162	340	1747
163	342	1744
164	344	1741
165	345	1737
166	347	1735
167	349	1732
168	351	1730
169	353	1727
170	355	1724
171	357	1720
172	359	1718
173	361	1716
174	363	1714
175	365	1711
176	367	1710
177	369	1707
178	371	1704
179	373	1701
180	375	1699
181	377	1697
182	379	1694
183	381	1692
184	383	1689
