state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
41,163,1,1,0,0,197.2,90,33.52,188.5,113,16.02,211.1,94,9.5,7.8,8,2.11,1
50,78,0,0,0,0,220.0,95,37.4,179.9,121,15.29,188.2,109,8.47,11.5,5,3.11,0
44,144,1,0,0,0,139.6,96,23.73,124.2,93,10.56,95.6,75,4.3,15.0,4,4.05,2
20,79,1,0,0,0,213.4,107,36.28,176.2,82,14.98,180.1,125,8.1,7.9,4,2.13,0
17,111,1,0,0,0,255.9,97,43.5,204.1,129,17.35,171.3,84,7.71,12.3,5,3.32,3
43,133,0,0,0,0,221.1,133,37.59,160.2,140,13.62,161.8,84,7.28,8.4,3,2.27,4
36,46,1,0,0,0,164.2,116,27.91,196.2,153,16.68,236.1,119,10.62,8.1,1,2.19,1
48,119,1,0,0,0,226.6,126,38.52,143.6,107,12.21,94.9,123,4.27,12.1,5,3.27,1
45,67,1,0,0,0,138.9,65,23.61,208.9,109,17.76,232.4,82,10.46,9.2,3,2.48,2
49,70,1,0,0,0,214.8,87,36.52,131.0,114,11.14,216.9,104,9.76,9.4,3,2.54,3
12,45,1,0,0,0,211.3,87,35.92,165.7,97,14.08,265.9,72,11.97,13.3,6,3.59,1
9,155,1,0,0,0,181.4,111,30.84,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,3
43,150,2,0,0,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4
23,99,0,0,0,0,128.8,86,21.9,203.9,105,17.33,282.6,131,12.72,14.1,4,3.81,2
13,47,1,0,1,28,196.2,88,33.35,194.8,106,16.56,243.0,103,10.93,10.5,10,2.84,0
31,42,0,1,0,0,180.7,127,30.72,174.6,94,14.84,165.3,114,7.44,12.0,6,3.24,2
48,166,2,0,0,0,173.9,103,29.56,276.4,83,23.49,190.8,113,8.59,15.3,5,4.13,0
28,154,0,0,1,35,224.0,102,38.08,192.0,99,16.32,163.1,100,7.34,9.6,2,2.59,0
30,74,2,0,0,0,233.6,72,39.71,168.0,103,14.28,276.3,71,12.43,6.3,2,1.7,2
44,97,1,0,0,0,209.2,134,35.56,0.0,0,0.0,175.4,94,7.89,11.8,6,3.19,1
8,95,2,0,0,0,184.2,95,31.31,181.6,101,15.44,143.4,113,6.45,12.8,4,3.46,2
12,92,2,0,1,25,134.0,112,22.78,206.0,111,17.51,180.6,118,8.13,9.7,4,2.62,0
15,32,1,0,0,0,103.6,78,17.61,238.5,115,20.27,186.9,70,8.41,11.0,4,2.97,2
20,125,1,0,0,0,224.9,102,38.23,143.8,87,12.22,198.9,105,8.95,8.0,2,2.16,0
49,78,2,0,1,26,189.0,98,32.13,191.7,67,16.29,217.0,68,9.76,11.3,3,3.05,0
30,131,2,0,0,0,103.5,105,17.6,174.1,103,14.8,248.2,95,11.17,11.7,2,3.16,5
6,72,0,0,1,21,186.7,108,31.74,335.0,86,28.48,187.2,119,8.42,16.5,4,4.46,1
46,93,0,0,1,32,138.1,91,23.48,167.3,72,14.22,238.9,115,10.75,6.8,3,1.84,2
5,141,0,0,0,0,264.3,90,44.93,216.4,101,18.39,208.8,72,9.4,9.6,3,2.59,0
48,119,1,0,0,0,37.4,102,6.36,182.3,115,15.5,191.9,100,8.64,8.3,5,2.24,2
45,121,2,0,1,28,110.0,94,18.7,141.5,76,12.03,237.3,87,10.68,6.4,3,1.73,2
43,92,2,0,0,0,240.2,86,40.83,107.6,79,9.15,156.6,121,7.05,7.5,4,2.03,1
39,117,0,0,1,13,207.6,65,35.29,152.7,77,12.98,232.8,95,10.48,9.7,3,2.62,1
50,16,1,0,0,0,174.7,83,29.7,280.8,122,23.87,171.7,80,7.73,10.5,8,2.84,5
7,86,1,0,1,29,189.3,107,32.18,221.3,101,18.81,325.6,137,14.65,13.8,3,3.73,1
